Location,Latitude,Longitude,Rating,Description
"52 Crestview Ave, Westlake Palisades, Daly City, CA 94015",37.6883771,-122.4933063,7,"Motion rapid, violent, side to side and up and down. Direction seemed to be E-W and up and down. Loud earth noises heard. Piano, refrigerator, T.V., radio, dishes (everything) shifted. Dishes broke. Plaster and ground cracked. Garage floor and exterior stucco walls cracked. Most damage was done to the front of house, where garage and window openings prevent diagonal bracing. Direction of wall E-W (approx.). Stucco cracked at corners of all openings. Damage considerable to stucco. Ground: Clay, sand, and loam; east side level, west side mostly cut."
"51 Avalon Dr, Westlake Palisades, Daly City, CA 94015",37.6870655,-122.4909255,7,"Motion rapid. Direction E. Very loud earth noises heard. Small objects and furnishings shifted. Plaster and walls cracked, and outside stairs split. Damage considerable. Ground: Sandy."
"93 Seacliff Ave, Westlake Palisades, Daly City, CA 94015",37.6880555,-122.4944223,7,"Motion very rapid, lasted 3-4 minutes. Direction SW. Loud earth noises heard. Small objects and furnishings shifted. Dishes and furniture broke. Plaster, walls, chimneys, and ground cracked. Damage considerable to wood and concrete. Ground: Soil, level, steep."
"56 Morningside Dr, Westlake Palisades, Daly City, CA 94015",37.6865642,-122.4920912,7,"Motion rapid. Direction N-S. Loud earth noises heard. Small objects and furnishings shifted. Dishes broke. Plaster, walls, and ground cracked. Damage considerable. Ground: Soil, compact, sloping."
"Penny's Store, 70 Westlake Court, Daly City, CA 94015",37.6996483,-122.4646993,6,Brick veneer on first story cracked (poor anchorage to back wall). Leg on cooling tower broke.
"538 Crocker Ave, Daly City, CA 94014",37.7031755,-122.4568748,6,"Motion rapid. Loud earth noises heard. Felt by observer indoors. Small objects shifted. Dishes broke. Plaster on ceilings cracked. Fireplace pulled from wall at joint. Damage slight: Glassware, dishes, etc., $50; ceiling repairs, $100; fallen objects, $50. Ground: Sandy soil, steep."
"6137 Mission St, Daly City, CA 94014",37.7070298,-122.4574458,6,"Motion rapid, lasted about 1 minutes. Direction N-S. Loud earth noises heard. Felt by observer indoors. Furniture shifted. Plaster, windows, and walls cracked. Both front side corners of office building cracked. Damage slight: Plaster cracks necessitate painting entire office, $300; repairs to outside cracks, $100. Ground: Compact, sandy."
"Colma School (formerly Market St), Jefferson Elementary School District, Daly City, CA 94014",37.6846328,-122.466233,6,Marked twisting and splitting of 8 x 8 wood posts carrying roof beams in one wing (NE). Similar framing in other wings not affected. Further study advisable. Few light fixtures dislodged; minor stucco and plaster cracks.
"Franklin School, Jefferson Elementary School District, Daly City, CA 94014",37.6865121,-122.4806894,6,Slight cracking in slabs.
"Garden Village School, Jefferson Elementary School District, Daly City, CA 94015",37.694376,-122.4781076,6,Six glass panes broken in E-W walls. Acoustic tile loosened. Small stucco cracks in usual places and two rather large cracks in a foundation wall which retains about an 8-foot depth of fill.
"Jefferson School, Jefferson Elementary School District, Daly City, CA 94014",37.6959589,-122.4674364,6,Slight cracking in slabs.
"Thornton School, Jefferson Elementary School District, Daly City, CA 94014",37.6912789,-122.4640921,6,Patches of plaster fell from wood lath. Stucco cracks enlarged.
